                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.2009,                0.81968,                 2.2163,                0.94043,                0.90137,                 0.9616,                0.80892,                 1.3798,                0.80327,                 2.3742,             0.00069313,             0.00069313,             0.00069313
                     47,                 1.1939,                 0.8044,                  2.191,                0.93124,                0.94537,                0.97225,                0.82141,                 1.3559,                0.74017,                 2.3365,             0.00068075,             0.00068075,             0.00068075
                     48,                 1.1738,                0.77483,                 2.1947,                0.97313,                  0.928,                0.97097,                0.81581,                 1.3896,                0.69169,                 2.3635,             0.00066838,             0.00066838,             0.00066838
                     49,                 1.1555,                0.77805,                 2.1937,                0.95827,                  0.948,                0.97377,                0.82742,                 1.3601,                 0.6849,                 2.3388,               0.000656,               0.000656,               0.000656
                     50,                 1.1992,                0.80598,                 2.2018,                0.96192,                0.92814,                0.97364,                0.82358,                 1.3712,                0.67481,                 2.3376,             0.00064362,             0.00064362,             0.00064362
                     51,                 1.1653,                 0.7706,                 2.1983,                0.96508,                0.94134,                0.97593,                0.82276,                 1.3534,                  0.637,                 2.3451,             0.00063125,             0.00063125,             0.00063125
                     52,                   1.18,                0.78342,                 2.1853,                0.97563,                0.92437,                0.97535,                0.82928,                 1.3323,                0.67839,                  2.302,             0.00061887,             0.00061887,             0.00061887
                     53,                 1.1373,                0.76627,                 2.1782,                0.95833,                 0.9368,                0.97158,                0.81803,                  1.365,                 0.6815,                 2.3506,              0.0006065,              0.0006065,              0.0006065
                     54,                 1.1593,                0.76279,                 2.1818,                0.94849,                0.94652,                  0.973,                0.83759,                 1.3281,                0.66891,                 2.2931,             0.00059413,             0.00059413,             0.00059413
                     55,                 1.1346,                0.74898,                 2.1739,                0.94986,                0.91357,                0.96386,                0.82037,                  1.352,                 0.7417,                  2.312,             0.00058175,             0.00058175,             0.00058175
                     56,                 1.1371,                0.74081,                 2.1735,                0.94432,                0.95599,                0.97487,                 0.8362,                 1.3163,                 0.6229,                 2.2839,             0.00056938,             0.00056938,             0.00056938
                     57,                 1.1165,                0.72375,                 2.1559,                0.94155,                0.94264,                0.96834,                0.83484,                 1.2964,                 0.7057,                 2.2696,               0.000557,               0.000557,               0.000557
                     58,                  1.133,                0.73282,                 2.1703,                0.95369,                0.94096,                0.97501,                0.83695,                 1.3225,                0.62284,                 2.2888,             0.00054463,             0.00054463,             0.00054463
                     59,                 1.1278,                 0.7262,                 2.1666,                0.96522,                0.94727,                0.97725,                0.83647,                 1.3125,                0.65505,                  2.273,             0.00053225,             0.00053225,             0.00053225
                     60,                 1.1172,                0.72273,                 2.1534,                0.95337,                0.95338,                0.97548,                0.84687,                 1.2716,                0.64015,                 2.2499,             0.00051988,             0.00051988,             0.00051988
                     61,                 1.1236,                0.72599,                 2.1588,                0.96398,                0.92646,                0.97157,                0.82838,                 1.3246,                0.66357,                 2.2957,              0.0005075,              0.0005075,              0.0005075
